iter	Passed	Remaining
647	42507	23090
648	42577	23027
649	42642	22961
650	42711	22897
651	42776	22831
652	42839	22764
653	42903	22698
654	42966	22631
655	43031	22565
656	43096	22499
657	43164	22435
658	43231	22370
659	43296	22304
660	43361	22238
661	43426	22172
662	43491	22106
663	43555	22040
664	43622	21975
665	43688	21909
666	43753	21844
667	43818	21778
668	43883	21712
669	43947	21645
670	44012	21579
671	44076	21513
672	44153	21453
673	44223	21390
674	44290	21325
675	44355	21258
676	44417	21192
677	44481	21125
678	44543	21058
679	44610	20993
680	44676	20927
681	44742	20862
682	44806	20796
683	44870	20729
684	44933	20662
685	44996	20596
686	45061	20530
687	45128	20465
688	45197	20401
689	45263	20335
690	45330	20270
691	45395	20204
692	45458	20138
693	45524	20072
694	45588	20006
695	45658	19942
696	45722	19876
697	45786	19810
698	45849	19743
699	45913	19677
700	45975	19610
701	46039	19543
702	46106	19478
703	46171	19413
704	46236	19347
705	46300	19281
706	46367	19215
707	46434	19150
708	46497	19084
709	46563	19018
710	46628	18953
711	46695	18888
712	46761	18822
713	46825	18756
714	46892	18691
715	46958	18625
716	47024	18560
717	47089	18494
718	47157	18430
719	47222	18364
720	47288	18298
721	47359	18235
722	47423	18169
723	47488	18103
724	47554	18037
725	47623	17973
726	47690	17908
727	47756	17842
728	47820	17776
729	47889	17712
730	47954	17646
731	48019	17581
732	48083	17514
733	48156	17451
734	48221	17385
735	48284	17319
736	48348	17253
737	48413	17187
738	48476	17120
739	48540	17054
740	48608	16990
741	48676	16925
742	48742	16859
743	48806	16793
744	48872	16728
745	48939	16663
746	49004	16597
747	49068	16531
748	49138	16467
749	49204	16401
750	49270	16336
751	49334	16269
752	49401	16204
753	49467	16139
754	49532	16073
755	49600	16008
756	49666	15943
757	49732	15877
758	49799	15812
759	49866	15747
760	49932	15681
761	49996	15615
762	50061	15549
763	50128	15484
764	50197	15420
765	50265	15355
766	50333	15290
767	50397	15224
768	50461	15158
769	50528	15093
770	50596	15027
771	50665	14963
772	50730	14897
773	50795	14831
774	50859	14765
775	50924	14699
776	50988	14633
777	51051	14567
778	51120	14502
779	51187	14437
780	51253	14371
781	51317	14306
782	51382	14240
783	51447	14174
784	51514	14109
785	51580	14043
786	51649	13978
787	51714	13913
788	51779	13847
789	51842	13780
790	51906	13714
791	51970	13648
792	52033	13582
793	52100	13517
794	52167	13451
795	52232	13386
796	52295	13319
797	52361	13254
798	52424	13188
799	52495	13123
800	52559	13057
801	52627	12992
802	52692	12927
803	52756	12860
804	52823	12795
805	52887	12729
806	52951	12663
807	53016	12597
808	53083	12532
809	53154	12468
810	53224	12403
811	53289	12338
812	53353	12272
813	53419	12206
814	53483	12140
815	53546	12074
816	53625	12011
817	53705	11949
818	53771	11883
819	53835	11817
820	53899	11751
821	53964	11685
822	54032	11620
823	54107	11556
824	54172	11491
825	54237	11425
826	54301	11359
827	54364	11293
828	54428	11227
829	54493	11161
830	54563	11096
831	54629	11031
832	54698	10965
833	54762	10900
834	54828	10834
835	54892	10768
836	54957	10702
837	55022	10636
838	55092	10572
839	55158	10506
840	55224	10440
841	55289	10375
842	55353	10308
843	55416	10242
844	55482	10177
845	55549	10111
846	55617	10046
847	55684	9981
848	55748	9915
849	55812	9849
850	55876	9783
851	55943	9717
852	56006	9651
853	56074	9586
854	56140	9520
855	56213	9456
856	56279	9390
857	56345	9325
858	56410	9259
859	56475	9193
860	56548	9129
861	56614	9063
862	56681	8998
863	56731	8929
864	56794	8863
865	56860	8798
866	56928	8732
867	56990	8666
868	57057	8601
869	57124	8535
870	57188	8469
871	57252	8404
872	57319	8338
873	57385	8272
874	57449	8207
875	57512	8141
876	57583	8076
877	57648	8010
878	57712	7944
879	57769	7877
880	57835	7812
881	57903	7746
882	57967	7680
883	58032	7615
884	58099	7549
885	58166	7484
886	58232	7418
887	58298	7352
888	58362	7287
889	58427	7221
890	58491	7155
891	58557	7089
892	58624	7024
893	58689	6958
894	58752	6892
895	58816	6826
896	58879	6761
897	58944	6695
898	59009	6629
899	59076	6564
900	59140	6498
901	59204	6432
902	59269	6366
903	59333	6300
904	59400	6235
905	59469	6170
906	59538	6104
907	59605	6039
908	59669	5973
909	59733	5907
910	59799	5842
911	59869	5776
912	59933	5711
913	60000	5645
914	60067	5580
915	60134	5514
916	60197	5448
917	60262	5382
918	60326	5317
919	60390	5251
920	60454	5185
921	60520	5119
922	60588	5054
923	60650	4988
924	60713	4922
925	60776	4856
926	60840	4791
927	60905	4725
928	60969	4659
929	61038	4594
930	61105	4528
931	61170	4463
932	61236	4397
933	61304	4331
934	61367	4266
935	61431	4200
936	61498	4134
937	61566	4069
938	61630	4003
939	61693	3937
940	61758	3872
941	61820	3806
942	61885	3740
943	61949	3674
944	62018	3609
945	62097	3544
946	62162	3479
947	62226	3413
948	62285	3347
949	62352	3281
950	62417	3216
951	62484	3150
952	62549	3084
953	62615	3019
954	62679	2953
955	62753	2888
956	62858	2824
957	62937	2759
958	63007	2693
959	63076	2628
960	63172	2563
961	63242	2498
962	63317	2432
963	63389	2367
964	63460	2301
965	63530	2236
966	63603	2170
967	63670	2104
968	63734	2038
969	63803	1973
970	63868	1907
971	63938	1841
972	64006	1776
973	64075	1710
974	64141	1644
975	64206	1578
976	64272	1513
977	64337	1447
978	64404	1381
979	64472	1315
980	64538	1249
981	64604	1184
982	64668	1118
983	64731	1052
984	64778	986
985	64841	920
986	64905	854
987	64971	789
988	65036	723
989	65101	657
990	65164	591
991	65228	526
992	65299	460
993	65385	394
994	65449	328
995	65516	263
996	65582	197
997	65647	131
998	65712	65
999	65778	0
